node_id,x_m,y_m,Hz
168,0.3,0.375,-0.4112185070959035
169,0.4,0.375,-0.2205526062761999
170,0.5,0.375,-0.007107294905628412
171,0.6,0.375,0.2086092771044653
172,0.7,0.375,0.4051292617781798
173,0.8,0.375,0.562271122397519
174,0.9,0.375,0.6634020459522127
175,1,0.375,0.6968197006237737
176,0,0.4,-0.7902787039199399
177,0.1,0.4,-0.7522396358796455
178,0.2,0.4,-0.6426260181789275
179,0.3,0.4,-0.4707434315601602
180,0.4,0.4,-0.2524060114018832
181,0.5,0.4,-0.00810819976963861
182,0.6,0.4,0.2386025477633274
183,0.7,0.4,0.4632491935441566
184,0.8,0.4,0.6429868791444231
185,0.9,0.4,0.759194219101576
186,1,0.4,0.798944120087824
187,0,0.425,-0.8683752240804091
188,0.1,0.425,-0.8282197891355947
189,0.2,0.425,-0.7080653138329128
190,0.3,0.425,-0.5188197277215399
191,0.4,0.425,-0.278266952861648
192,0.5,0.425,-0.009163746338312424
193,0.6,0.425,0.2624955873533067
194,0.7,0.425,0.509815357784876
195,0.8,0.425,0.7078233201217382
196,0.9,0.425,0.8363876190663608
197,1,0.425,0.8819369259145461
198,0,0.45,-0.9244328811702427
199,0.1,0.45,-0.8837646527959612
200,0.2,0.45,-0.7561199079259824
201,0.3,0.45,-0.5542469188027364
202,0.4,0.45,-0.2974712679689935
203,0.5,0.45,-0.01021757779707302
204,0.6,0.45,0.2797273500862167
205,0.7,0.45,0.5436976566519963
206,0.8,0.45,0.7551744365676519
207,0.9,0.45,0.8930230488919946
208,1,0.45,0.943887521606359
209,0,0.475,-0.9568799602778074
210,0.1,0.475,-0.9175983147974754
211,0.2,0.475,-0.7856150602871591
212,0.3,0.475,-0.5761325894649936
213,0.4,0.475,-0.3095153780320062
214,0.5,0.475,-0.01121008676148533
215,0.6,0.475,0.2899042528281652
216,0.7,0.475,0.5640820227467355
217,0.8,0.475,0.7838655506528016
218,0.9,0.475,0.9276090603397167
219,1,0.475,0.9834681503299634
220,0,0.5,-0.964630548965264
221,0.1,0.5,-0.9290374614239105
222,0.2,0.5,-0.7958288946595583
223,0.3,0.5,-0.5839137806628325
224,0.4,0.5,-0.3140691288294621
225,0.5,0.5,-0.01208053737361104
226,0.6,0.5,0.2928094127185499
227,0.7,0.5,0.5704910742622196
228,0.8,0.5,0.7931866823406567
229,0.9,0.5,0.9391356023807855
230,1,0.5,0.9999999999999699
