ordered_rank,solver_index,lambda
411,410,2266.117268635408
412,411,2267.496398157796
413,412,2271.390921482282
414,413,2274.158121080635
415,414,2275.319380328008
416,415,2278.501991310603
417,416,2282.46451194104
418,417,2282.553081865531
419,418,2284.148363138951
420,419,2286.993065978736
421,420,2287.291788868556
422,421,2291.001855182355
423,422,2297.744409642736
424,423,2304.640564157167
425,424,2311.419803920521
426,425,2315.417148944231
427,426,2317.912423528594
428,427,2323.98882648028
429,428,2329.552049156277
430,429,2334.53373259022
431,430,2338.889103694435
432,431,2342.591310869575
433,432,2345.626056619883
434,433,2347.987102237872
435,434,2349.672801877186
436,435,2350.683606213141
437,436,2423.452130297941
438,437,2446.922944865909
439,438,2447.129119347496
440,439,2466.836949723833
441,440,2490.702719085191
442,441,2542.995713702686
443,442,2560.255678393773
444,443,2562.138309486784
445,444,2649.408831137675
446,445,2715.559617162148
447,446,2734.349697645974
448,447,2748.506296027604
449,448,2788.559855179218
450,449,2817.66876734349
451,450,2845.594070592436
452,451,2895.371308194939
453,452,2915.475938593433
454,453,2935.921346772167
455,454,2967.0430057897
456,455,3040.31788825439
457,456,3097.901940937805
458,457,3101.455436875032
459,458,3133.233133891412
460,459,3187.729601703209
461,460,3190.643997774092
462,461,3221.259191724402
463,462,3247.318759925939
464,463,3300.119980401629
465,464,3373.221183311821
466,465,3410.578285356252
467,466,3428.931098767719
468,467,3441.583193935852
469,468,3479.738840372961
470,469,3563.270781676991
471,470,3588.574673260388
472,471,3665.600892227829
473,472,3715.449388082046
474,473,3732.356016559958
475,474,3734.313874787955
476,475,3751.85505979833
477,476,3785.729825309564
478,477,3795.166365313341
479,478,3825.025179187942
480,479,3905.660333614972
481,480,3924.380643435447
482,481,3930.867867102903
483,482,3983.467399149118
484,483,3993.356766648323
485,484,4041.96899043117
486,485,4049.233475025348
487,486,4101.827312177194
488,487,4147.42142220856
489,488,4154.255478561796
490,489,4250.123101474759
491,490,4278.584616503684
492,491,4286.610102413373
493,492,4306.921405638868
494,493,4373.322227843549
495,494,4389.336403996051
496,495,4418.387563546732
497,496,4428.55759259297
498,497,4462.707887341212
499,498,4498.072259974334
500,499,4522.70149052252
501,500,4523.555597300704
502,501,4549.68923250848
503,502,4600.146692609516
504,503,4614.524544936
505,504,4679.621393983382
506,505,4703.98124045841
507,506,4718.067497342604
508,507,4778.476455566197
509,508,4788.95334527429
510,509,4798.761928535916
511,510,4856.494565123518
512,511,4860.422965153854
513,512,4877.186042474545
514,513,4893.959818680989
515,514,4951.08489770555
516,515,4999.010969767162
517,516,5016.527612972273
518,517,5023.456832645487
519,518,5024.829063478844
520,519,5046.190250153168
521,520,5048.873196925281
522,521,5085.881879140827
523,522,5092.347600362584
524,523,5110.472345309357
525,524,5161.703813130096
526,525,5173.285207535414
527,526,5174.648186788448
528,527,5203.661794161474
529,528,5209.820301787556
530,529,5226.66780888083
531,530,5239.879543521931
532,531,5254.375511580773
533,532,5287.8526075036
534,533,5316.551581625821
535,534,5366.278933830929
536,535,5370.632337571745
537,536,5390.834652766786
538,537,5406.605107918404
539,538,5415.999924998626
540,539,5447.76262032975
541,540,5497.644355528084
