ordered_rank,solver_index,lambda
418,417,2637.243906939775
419,418,2691.628297986465
420,419,2691.628297986472
421,420,2898.97411999532
422,421,2898.974119995321
423,422,3100.218038978368
424,423,3100.218038978374
425,424,3240.31755872277
426,425,3240.317558722772
427,426,3318.752091063333
428,427,3318.752091063337
429,428,3352.028531773584
430,429,3352.028531773587
431,430,3844.98491668258
432,431,3844.984916682583
433,432,4984.623261358556
434,433,4984.62326135856
435,434,5710.13877085617
436,435,5710.138770856181
